,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
3307,Dragon Ball Z: Ultimate Tenkaichi,PS3,2011.0,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.07,58.0,26.0,5.4,77.0,Spike,T
10050,NFL Head Coach 09,X360,2008.0,Sports,Electronic Arts,0.11,0.0,0.0,0.01,67.0,14.0,8.4,28.0,EA Tiburon,E
7017,Madagascar: Escape 2 Africa,PS3,2008.0,Action,Activision,0.12,0.08,0.0,0.03,58.0,13.0,6.8,4.0,Toys for Bob,E10+
2519,Shin Megami Tensei: Persona 4,PS2,2008.0,Role-Playing,Atlus,0.34,0.04,0.36,0.08,90.0,47.0,8.9,634.0,Atlus Co.,M
8956,Earth Defense Force 2025,X360,2013.0,Shooter,D3Publisher,0.06,0.03,0.05,0.01,68.0,25.0,8.1,63.0,Sandlot,M
15983,Sniper Elite,PC,2005.0,Shooter,MC2 Entertainment,0.0,0.01,0.0,0.0,76.0,13.0,8,142.0,Rebellion,M
11582,Lost Dimension,PSV,2014.0,Role-Playing,Nippon Ichi Software,0.03,0.01,0.02,0.02,72.0,28.0,8.3,35.0,FuRyu,T
408,The Legend of Zelda: Spirit Tracks,DS,2009.0,Action,Nintendo,1.4,0.91,0.74,0.26,87.0,75.0,7.8,228.0,Nintendo,E10+
10663,Leisure Suit Larry: Box Office Bust,PS3,2009.0,Adventure,Codemasters,0.06,0.03,0.0,0.01,17.0,11.0,1.7,37.0,Team 17,M
11129,Supreme Commander,X360,2008.0,Strategy,505 Games,0.07,0.01,0.0,0.01,56.0,24.0,5.7,19.0,Hellbent Games,E10+
4923,Blood Omen 2,PS2,2002.0,Action,Eidos Interactive,0.19,0.15,0.0,0.05,67.0,18.0,8.8,19.0,Crystal Dynamics,M
12770,Generation of Chaos,PSP,2005.0,Role-Playing,Midas Interactive Entertainment,0.05,0.0,0.0,0.0,60.0,29.0,7.7,18.0,Idea Factory,T
1002,The Urbz: Sims in the City,PS2,2004.0,Simulation,Electronic Arts,0.52,0.95,0.0,0.29,70.0,25.0,8.2,24.0,Maxis,T
3980,Major League Baseball 2K12,X360,2012.0,Sports,Take-Two Interactive,0.47,0.0,0.0,0.03,68.0,19.0,6.4,22.0,Visual Concepts,E
6202,Medieval Moves: Deadmund's Quest,PS3,2011.0,Action,Sony Computer Entertainment,0.13,0.11,0.0,0.04,61.0,41.0,6.5,17.0,Zindagi Games,E10+
12530,Call of Duty 2,PC,2005.0,Shooter,Activision,0.0,0.05,0.0,0.01,86.0,64.0,8.4,626.0,Infinity Ward,T
8898,Ridge Racer DS,DS,2004.0,Racing,Namco Bandai Games,0.14,0.0,0.0,0.01,63.0,35.0,6.7,7.0,Namco,E
6688,The Sims 2,XB,2005.0,Simulation,Electronic Arts,0.19,0.05,0.0,0.01,75.0,31.0,7.1,8.0,Maxis,T
2215,White Knight Chronicles: International Edition,PS3,2008.0,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,64.0,77.0,7.5,213.0,Level 5,T
2885,Madden NFL 09,PSP,2008.0,Sports,Electronic Arts,0.65,0.0,0.0,0.06,68.0,8.0,6.5,4.0,EA Tiburon,E
5933,Radiant Historia,DS,2010.0,Role-Playing,Atlus,0.19,0.0,0.09,0.01,85.0,30.0,9,81.0,Atlus,E10+
16416,Legend of Kay Anniversary,WiiU,2015.0,Action,Nordic Games,0.0,0.01,0.0,0.0,67.0,9.0,7.1,35.0,"Neon Studios, Kaiko",E10+
11226,XIII,GC,2003.0,Shooter,Ubisoft,0.07,0.02,0.0,0.0,73.0,27.0,7.7,20.0,Ubisoft Paris,M
8715,Ultimate Spider-Man,DS,2005.0,Action,Activision,0.14,0.0,0.0,0.01,78.0,17.0,7.7,10.0,Vicarious Visions,E10+
2444,Burnout 2: Point of Impact,PS2,2002.0,Racing,Acclaim Entertainment,0.42,0.32,0.0,0.11,86.0,31.0,8.2,48.0,Criterion Games,E
1952,Skylanders Giants,PS3,2012.0,Action,Activision,0.36,0.49,0.0,0.2,77.0,21.0,6.3,18.0,Toys for Bob,E10+
13599,FIFA Street 2,DS,2006.0,Sports,Electronic Arts,0.04,0.0,0.0,0.0,43.0,5.0,7.5,4.0,Exient Entertainment,E
8492,Mirror's Edge Catalyst,XOne,2016.0,Platform,Electronic Arts,0.09,0.06,0.0,0.01,72.0,46.0,4.4,266.0,EA DICE,T
13393,The Sims,PC,2000.0,Simulation,Electronic Arts,0.01,0.03,0.0,0.01,92.0,38.0,7.9,451.0,Maxis,T
247,Splatoon,WiiU,2015.0,Shooter,Nintendo,1.54,1.18,1.46,0.26,81.0,88.0,8.5,1184.0,Nintendo,E10+
5794,Star Wars Racer Revenge,PS2,2002.0,Racing,LucasArts,0.15,0.12,0.0,0.04,73.0,34.0,8.5,11.0,Rainbow Studios,E
3698,F.E.A.R.,PS3,2007.0,Shooter,Vivendi Games,0.18,0.26,0.0,0.1,72.0,31.0,7.4,64.0,Day 1 Studios,M
9191,Tim Burton's The Nightmare Before Christmas: The Pumpkin King,GBA,2005.0,Platform,Disney Interactive Studios,0.1,0.04,0.0,0.0,71.0,5.0,5.5,6.0,TOSE,E10+
7596,MVP Baseball 2003,XB,2003.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,82.0,18.0,9,9.0,EA Sports,E
2559,Hitman: Contracts,PS2,2004.0,Shooter,Eidos Interactive,0.39,0.31,0.0,0.1,80.0,39.0,8.3,43.0,Io Interactive,M
